title,location,price,area,no_rooms,interior,year
ApartmentNieuweKeizersgracht60III,1018DTAmsterdam(Weesperbuurt/Plantage),"€2,500permonth",100m²,3rooms,Furnished,
ApartmentGalvanistraat4H,1098NLAmsterdam(Middenmeer),"€2,250permonth",90m²,4rooms,Upholstered,
ApartmentCeintuurbaan933+4,1072EXAmsterdam(OudePijp),"€2,495permonth",95m²,3rooms,,Before1906
ApartmentNieuweHerengracht,1011RLAmsterdam(Nieuwmarkt/Lastage),"€2,750permonth",80m²,3rooms,Furnished,
ApartmentJuliusPergerstraat,1087KNAmsterdam(IJburgZuid),"€2,000permonth",85m²,3rooms,Furnished,
ApartmentHerengracht,1017BSAmsterdam(Grachtengordel-Zuid),"€1,950permonth",55m²,2rooms,Upholsteredorfurnished,
ApartmentEersteHugodeGrootstraat7hs,1052KKAmsterdam(FrederikHendrikbuurt),"€2,350permonth",69m²,2rooms,,
ApartmentDalsteindreef310,"1102WZAmsterdam(BijlmerCentrum(D,F,H))","€1,450permonth",59m²,2rooms,Furnished,
ApartmentWijttenbachstraat64E,1093JGAmsterdam(Dapperbuurt),"€1,650permonth",36m²,2rooms,Furnished,
ApartmentJohanHofmanstraat,1069KEAmsterdam(Osdorp-Midden),"€2,250permonth",96m²,3rooms,Furnished,
ApartmentKeizersgracht,1017EBAmsterdam(Grachtengordel-Zuid),"€2,450permonth",42m²,3rooms,Furnished,
ApartmentFaasWilkesstraat,1095MDAmsterdam(Zeeburgereiland/NieuweDiep),"€2,450permonth",105m²,4rooms,Upholstered,
ApartmentStatenjachtstraat,1034GAAmsterdam(BanneBuiksloot),"€1,750permonth",80m²,3rooms,Upholstered,
ApartmentVanSpilbergenstraat963,1057RLAmsterdam(Hoofdwege.o.),"€1,950permonth",75m²,3rooms,Upholstered,
ApartmentPresidentSteynstraat132,1091NBAmsterdam(Transvaalbuurt),"€1,800permonth",60m²,3rooms,Upholstered,
ApartmentTh.J.Lammerslaan17,1064DHAmsterdam(Slotermeer-Zuidwest),"€1,875permonth",80m²,3rooms,Upholstered,
ApartmentFaasWilkesstraat183E,1095MDAmsterdam(Zeeburgereiland/NieuweDiep),"€1,800permonth",101m²,4rooms,Upholstered,
ApartmentEersteHugodeGrootstraat,1052KKAmsterdam(FrederikHendrikbuurt),"€2,300permonth",65m²,3rooms,Furnished,
ApartmentSchippersstraat,1011AZAmsterdam(Nieuwmarkt/Lastage),"€2,400permonth",115m²,4rooms,Upholstered,
ApartmentWildenborch75PP,1082KCAmsterdam(Buitenveldert-West),"€3,250permonth",135m²,4rooms,Upholstered,
ApartmentJacobCatskade,1052CBAmsterdam(Staatsliedenbuurt),"€2,650permonth",90m²,3rooms,Furnished,
ApartmentZeeburgerkade,1019HRAmsterdam(OostelijkHavengebied),"€2,000permonth",107m²,3rooms,Upholstered,
ApartmentCeintuurbaan,1074ECAmsterdam(NieuwePijp),"€2,450permonth",52m²,3rooms,Upholstered,
ApartmentNieuweAchtergracht,1018WNAmsterdam(Weesperbuurt/Plantage),"€2,000permonth",54m²,3rooms,Furnished,
ApartmentValeriusstraat60II,1071MLAmsterdam(Museumkwartier),"€3,950permonth",130m²,5rooms,Upholstered,
HouseJokeSmitstraat7,"1103DDAmsterdam(BijlmerOost(E,G,K))","€2,650permonth",133m²,6rooms,Furnished,
ApartmentBeethovenstraat,1077JWAmsterdam(Apollobuurt),"€2,250permonth",120m²,4rooms,Furnished,
ApartmentNieuweKerkstraat114A,1018VMAmsterdam(Weesperbuurt/Plantage),"€2,000permonth",75m²,2rooms,Furnished,
ApartmentLouisDavidsstraat,1068SJAmsterdam(Osdorp-Oost),"€2,250permonth",60m²,2rooms,,1985
StudioSingel,1012VGAmsterdam(Burgwallen-NieuweZijde),"€1,550permonth",33m²,1room,Furnished,
ApartmentBoomstraat23A,1015LAAmsterdam(Jordaan),"€3,850permonth",125m²,5rooms,Furnished,
ApartmentKinkerstraat132B,1053EEAmsterdam(Kinkerbuurt),"€1,500permonth",55m²,2rooms,,Before1906
ApartmentOeverpad199PP,1068PHAmsterdam(Osdorp-Oost),"€2,500permonth",124m²,4rooms,Furnished,
ApartmentHavikshorst,1083TTAmsterdam(Buitenveldert-Oost),"€1,600permonth",47m²,2rooms,,
ApartmentBramzeilhof6,1034LGAmsterdam(BanneBuiksloot),"€1,750permonth",75m²,3rooms,Furnished,
ApartmentSaxenburgerstraat121,1054KPAmsterdam(OvertoomseSluis),"€2,250permonth",65m²,2rooms,Furnished,
ApartmentDusartstraat411,1072HNAmsterdam(NieuwePijp),"€2,100permonth",55m²,3rooms,Furnished,
ApartmentJoosBanckersweg212,1056ERAmsterdam(Landlust),"€2,250permonth",80m²,2rooms,Furnished,
ApartmentSchierstins,1082TEAmsterdam(Buitenveldert-West),"€1,600permonth",63m²,3rooms,Furnished,
ApartmentKanaalstraat,1054XCAmsterdam(OvertoomseSluis),"€3,100permonth",130m²,3rooms,Upholstered,
ApartmentWeesperzijde,1091EJAmsterdam(Weesperzijde),"€2,500permonth",78m²,3rooms,Upholstered,
HouseLinnaeusparkweg,1098EPAmsterdam(Middenmeer),"€2,500permonth",111m²,3rooms,,1906-1930
ApartmentNieuweJonkerstraat,1011CMAmsterdam(Nieuwmarkt/Lastage),"€2,975permonth",91m²,4rooms,Furnished,
ApartmentHerengracht248A,1016BVAmsterdam(Grachtengordel-West),"€3,250permonth",151m²,3rooms,Furnished,
ApartmentSaxen-Weimarlaan20,1075CBAmsterdam(Willemspark),"€5,000permonth",170m²,6rooms,Furnished,
ApartmentTuinstraat1793,1015PCAmsterdam(Jordaan),"€3,500permonth",105m²,3rooms,Furnished,
ApartmentPapaverweg,1032KHAmsterdam(Volewijck),"€1,395permonth",40m²,2rooms,Upholstered,
ApartmentNieuwHerlaer,1083BCAmsterdam(Buitenveldert-Oost),"€2,350permonth",128m²,3rooms,,1960-1970
ApartmentUtrechtsedwarsstraat,1017WGAmsterdam(DeWeteringschans),"€3,250permonth",98m²,4rooms,Furnished,
ApartmentKuipersstraat,1073ERAmsterdam(NieuwePijp),"€2,400permonth",53m²,3rooms,Furnished,
ApartmentHerculesstraat,1076SMAmsterdam(Stadionbuurt),"€2,250permonth",65m²,3rooms,Furnished,
ApartmentPieterAertszstraat,1073SKAmsterdam(NieuwePijp),"€3,000permonth",60m²,3rooms,Upholstered,
ApartmentKarelduJardinstraat452,1072SGAmsterdam(NieuwePijp),"€2,200permonth",60m²,2rooms,Furnished,
ApartmentWillemFrederikHermansstraat69,1011DGAmsterdam(Nieuwmarkt/Lastage),"€3,750permonth",122m²,4rooms,Upholstered,
ApartmentPrinseneiland502L,1013LRAmsterdam(Haarlemmerbuurt),"€2,700permonth",110m²,3rooms,Furnished,
ApartmentNicolaasMaesstraat653,1071PRAmsterdam(Museumkwartier),"€2,500permonth",62m²,3rooms,,1906-1930
ApartmentBaarsjesweg2503,1058ABAmsterdam(WestindischeBuurt),"€2,500permonth",90m²,2rooms,Furnished,
HouseBalearenlaan82,1060TMAmsterdam(MiddelveldscheAkerpolder),"€2,500permonth",210m²,7rooms,Furnished,
ApartmentKoninginWilhelminaplein,1062KSAmsterdam(Westlandgracht),"€2,100permonth",80m²,3rooms,,2016
ApartmentRapenburgerstraat155D,1011VMAmsterdam(Nieuwmarkt/Lastage),"€2,200permonth",75m²,3rooms,Upholstered,
ApartmentEersteSweelinckstraat,1073CMAmsterdam(OudePijp),"€2,825permonth",98m²,4rooms,Furnished,
ApartmentReijnierVinkeleskade64D,1071SXAmsterdam(Museumkwartier),"€5,000permonth",120m²,4rooms,Upholstered,
ApartmentWaldeckPyrmontlaan4IV,1075BVAmsterdam(Willemspark),"€3,500permonth",120m²,3rooms,,1906-1930
ApartmentHagedoornplein20,1031BVAmsterdam(Volewijck),"€4,000permonth",141m²,5rooms,Upholstered,
ApartmentOmval,1096AAAmsterdam(Omval/Overamstel),"€2,250permonth",97m²,3rooms,Upholstered,
ApartmentBinnenkant,1011BRAmsterdam(Nieuwmarkt/Lastage),"€1,750permonth",63m²,2rooms,,Before1906
ApartmentKalkmarkt,1011BCAmsterdam(Nieuwmarkt/Lastage),"€2,995permonth",125m²,5rooms,Furnished,
ApartmentKalkmarkt,1011BCAmsterdam(Nieuwmarkt/Lastage),"€2,350permonth",95m²,3rooms,Furnished,
ApartmentDeClercqstraat,1052NHAmsterdam(DaCostabuurt),"€2,150permonth",67m²,1room,Furnished,
StudioWindjammerdijk,1086VCAmsterdam(IJburgWest),"€1,600permonth",65m²,1room,Furnished,
ApartmentCliostraat,1077KAAmsterdam(Apollobuurt),"€2,250permonth",70m²,3rooms,Furnished,
ApartmentHoofdweg,1055SCAmsterdam(DeKolenkit),"€2,150permonth",100m²,3rooms,Furnished,
ApartmentWillemFrederikHermansstraat,1011DGAmsterdam(Nieuwmarkt/Lastage),"€5,000permonth",170m²,5rooms,Furnished,
ApartmentFalckstraat493,1017VVAmsterdam(DeWeteringschans),"€3,500permonth",140m²,4rooms,Upholstered,
ApartmentWillemFrederikHermansstraat,1011DGAmsterdam(Nieuwmarkt/Lastage),"€2,150permonth",68m²,2rooms,Furnished,
ApartmentEersteNassaustraat,1052BHAmsterdam(Staatsliedenbuurt),"€2,950permonth",100m²,3rooms,Furnished,
ApartmentRidderspoorweg,1032LLAmsterdam(NoordelijkeIJ-oeversWest),"€3,250permonth",98m²,3rooms,Furnished,
ApartmentDusartstraat,1072HTAmsterdam(NieuwePijp),"€2,150permonth",67m²,2rooms,Upholstered,
ApartmentJanvanDuivenvoordestraat157,1067MTAmsterdam(Geuzenveld),"€2,100permonth",94m²,3rooms,Furnished,
ApartmentKoninginneweg2252,1075CSAmsterdam(Willemspark),"€3,450permonth",75m²,3rooms,Furnished,
ApartmentAugustAllebéplein195,1062ABAmsterdam(OvertoomseVeld),"€1,495permonth",53m²,3rooms,Upholstered,
ApartmentAugustAllebéplein105,1062ABAmsterdam(OvertoomseVeld),"€1,495permonth",53m²,3rooms,Upholstered,
ApartmentZocherstraat124,1054LXAmsterdam(OvertoomseSluis),"€2,295permonth",90m²,4rooms,,1906-1930
ApartmentCéramiquelaan,1031KGAmsterdam(NoordelijkeIJ-oeversWest),"€2,350permonth",70m²,3rooms,Upholstered,
